ID	Length	Gene	Product	EC	GO	COG	RefSeq	UniParc	UniRef
AP011958.1|integron_01|AP011958.1_59	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
AP011958.1|integron_01|AP011958.1_60	259	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	2.7.7.47	GO:0005524,GO:0009012,GO:0046677			UPI001D5A5E64	UniRef100_A0A6G8FA23,UniRef50_P0AG05,UniRef90_P14511
AP011958.1|integron_01|AP011958.1_61	165	dfrA12	trimethoprim-resistant dihydrofolate reductase DfrA12	1.5.1.3	GO:0004146		WP_001083725.1	UPI00000BF132	UniRef100_Q79DQ2,UniRef50_Q59408,UniRef90_Q79DQ2
AP014566.1|integron_01|AP014566.1_47	36		Ethidium_bromide_resistance_protein						UniRef50_N0DV87,UniRef90_N0DV87
AP014566.1|integron_01|AP014566.1_48	259	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	2.7.7.47					UniRef50_Q51348,UniRef90_Q0PRF6
AP018569.2|integron_01|AP018569.2_95	259	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	2.7.7.47	GO:0005524,GO:0009012,GO:0046677			UPI001D5A5E64	UniRef100_A0A6G8FA23,UniRef50_P0AG05,UniRef90_P14511
AP018569.2|integron_01|AP018569.2_96	419	cmlA1	chloramphenicol efflux MFS transporter CmlA1		GO:0016020,GO:0022857,GO:0042910,GO:0055085,GO:1990961				UniRef50_P32482,UniRef90_A0A1Y0F555
AP018569.2|integron_01|AP018569.2_97	408	ere(A)	EreA family erythromycin esterase	3.1.1.-	GO:0046677,GO:0052689	COG2312,Q	WP_021566672.1	UPI00000B5E06	UniRef100_Q4W867,UniRef50_P07684,UniRef90_P07684
AP018569.2|integron_01|AP018569.2_98	112	qacE	quaternary ammonium compound efflux SMR transporter QacE		GO:0016020				UniRef50_Q8RPX4,UniRef90_Q93LK2
AP018569.2|integron_02|AP018569.2_105	80	qacE	quaternary ammonium compound efflux SMR transporter QacE						UniRef50_A0A7W9B6F8,UniRef90_A0A3T0VDI8
AP018569.2|integron_02|AP018569.2_106	150	arr-3	NAD(+)--rifampin ADP-ribosyltransferase Arr-3				WP_001749986.1	UPI000005E9A4	UniRef100_A0A5P1MSY4,UniRef50_A0A5P1MSY4,UniRef90_A0A5P1MSY4
AP018569.2|integron_02|AP018569.2_107	210	catB3	type B-3 chloramphenicol O-acetyltransferase CatB3	2.3.1.28	GO:0008811,GO:0016740,GO:0046677	COG0110,R	WP_000186237.1	UPI0000000D0A	UniRef100_P50868,UniRef50_P26841,UniRef90_P50868
AP018569.2|integron_02|AP018569.2_108	291	blaOXA	OXA-1 family class D beta-lactamase	3.5.2.6	GO:0008658,GO:0008800,GO:0017001,GO:0042597,GO:0046677	COG2602,V		UPI0001B22EC6	UniRef100_P13661,UniRef50_P13661,UniRef90_P13661
AP018569.2|integron_02|AP018569.2_109	199	aac(6')-Ib	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr	2.3.1.82			WP_001749987.1	UPI00002265A7	UniRef100_C7S9C9,UniRef50_P19650,UniRef90_C7S9C9
AP018570.2|integron_01|AP018570.2_300	203	dfrA12	trimethoprim-resistant dihydrofolate reductase DfrA12	1.5.1.3	GO:0004146				UniRef50_Q59408,UniRef90_A0A059WMY4
AP018570.2|integron_01|AP018570.2_301	259	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	2.7.7.47	GO:0005524,GO:0009012,GO:0046677			UPI001D5A5E64	UniRef100_A0A6G8FA23,UniRef50_P0AG05,UniRef90_P14511
AP018570.2|integron_01|AP018570.2_302	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
AP018579.2|integron_01|AP018579.2_52	157	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	1.5.1.3	GO:0004146	COG0262,H	WP_004201280.1	UPI00005051FA	UniRef100_F8T8W2,UniRef50_P95524,UniRef90_F8T8W2
AP018579.2|integron_01|AP018579.2_53	94		Resolvease/recombinase					UPI00000D137B	UniRef100_A0A221ZPW9,UniRef50_A0A221ZPW9,UniRef90_A0A221ZPW9
AP018579.2|integron_02|AP018579.2_63	199	aac(6')-Ib	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr	2.3.1.82			WP_001749987.1	UPI00002265A7	UniRef100_C7S9C9,UniRef50_P19650,UniRef90_C7S9C9
AP018579.2|integron_02|AP018579.2_64	291	blaOXA	OXA-1 family class D beta-lactamase	3.5.2.6	GO:0008658,GO:0008800,GO:0017001,GO:0042597,GO:0046677	COG2602,V		UPI0001B22EC6	UniRef100_P13661,UniRef50_P13661,UniRef90_P13661
AP018579.2|integron_02|AP018579.2_65	182	catB3	type B-3 chloramphenicol O-acetyltransferase CatB3				WP_012783949.1	UPI0001B22EC7	UniRef100_C7S9D1,UniRef50_C7S9D1,UniRef90_C7S9D1
AP019385.1|integron_01|AP019385.1_86	130	qacE	quaternary ammonium compound efflux SMR transporter QacE		GO:0016020				UniRef50_Q56QZ6,UniRef90_A0A0E3ZCD8
AP019386.1|integron_01|AP019386.1_109	246	blaIMP-1	subclass B1 metallo-beta-lactamase IMP-1	3.1.26.-,3.5.2.6	GO:0008270,GO:0008800,GO:0017001,GO:0042597,GO:0046677	COG0491,R	WP_003159548.1	UPI00000054D4	UniRef100_P52699,UniRef50_P52699,UniRef90_P52699
AP019386.1|integron_01|AP019386.1_110	193	aac(6')-IIc	aminoglycoside N-acetyltransferase AAC(6')-IIc	2.3.1.82			WP_012695484.1	UPI00000BAAAE	UniRef100_A0A6G8F8L0,UniRef50_P19650,UniRef90_A0A6G8F8L0
AP019386.1|integron_01|AP019386.1_111	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
AP021942.1|integron_01|AP021942.1_7	218	qnrVC4	quinolone resistance pentapeptide repeat protein QnrVC4				WP_000361704.1	UPI0001D96FD0	UniRef100_I3VI74,UniRef50_Q87K03,UniRef90_I3VI74
AP021942.1|integron_01|AP021942.1_8	212	aac(6')-Ib	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	2.3.1.82		COG1670,JO			UniRef50_A0A6P1J1R6,UniRef90_D9MWQ6
AP021942.1|integron_01|AP021942.1_9	299	blaVEB-1	inhibitor-resistant extended-spectrum class A beta-lactamase VEB-1	3.5.2.6	GO:0008800,GO:0030655,GO:0046677	COG2367,V	WP_000706731.1	UPI00000B568C	UniRef100_O87489,UniRef50_O87489,UniRef90_O87489
AP021942.1|integron_01|AP021942.1_10	177	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	2.7.7.46	GO:0008871,GO:0046677,GO:0046872		WP_000381802.1	UPI000000029A	UniRef100_P0AE04,UniRef50_P0AE04,UniRef90_P0AE04
AP021942.1|integron_01|AP021942.1_11	160	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	1.5.1.3	GO:0004146			UPI00000D137C	UniRef100_L0R3I0,UniRef50_L0R3I0,UniRef90_L0R3I0
AP021942.1|integron_01|AP021942.1_12	88	mobC	MobC				WP_001144737.1	UPI000182469C	UniRef100_T2FLB2,UniRef50_A0A2Z2H7T6,UniRef90_T2FLB2
AP022134.1|integron_01|AP022134.1_120	198	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	2.7.7.46				UPI0003B04C42	UniRef100_A0A2R4KLR4,UniRef50_Q6X3H6,UniRef90_Q6X3H6
AP022134.1|integron_01|AP022134.1_121	259	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	2.7.7.47	GO:0005524,GO:0009012,GO:0046677			UPI001D5A5E64	UniRef100_A0A6G8FA23,UniRef50_P0AG05,UniRef90_P14511
AP022134.1|integron_01|AP022134.1_122	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
AP022134.1|integron_02|AP022134.1_163	157	dfrA16	trimethoprim-resistant dihydrofolate reductase DfrA16	1.5.1.3	GO:0004146				UniRef50_Q934B2,UniRef90_Q934B2
AP022134.1|integron_02|AP022134.1_164	259	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	2.7.7.47	GO:0005524,GO:0009012,GO:0046677			UPI001D5A5E64	UniRef100_A0A6G8FA23,UniRef50_P0AG05,UniRef90_P14511
AP022134.1|integron_02|AP022134.1_165	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
AP022229.1|integron_01|AP022229.1_76	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
AP022229.1|integron_01|AP022229.1_77	141		ORFG				WP_013136948.1	UPI00000B5C08	UniRef100_Q7DHI4,UniRef50_A0A1Y6BLH5,UniRef90_Q7DHI4
AP022229.1|integron_01|AP022229.1_78	185	aac(6')-Ia	aminoglycoside 6'-N-acetyltransferase AAC(6')-Ia	2.3.1.82	GO:0008080,GO:0046677,GO:0047663	COG3153,R	WP_013136949.1	UPI0000000167	UniRef100_P10051,UniRef50_P10051,UniRef90_P10051
AP022229.1|integron_01|AP022229.1_79	245	blaIMP-11	subclass B1 metallo-beta-lactamase IMP-11	3.5.2.6	GO:0008800		WP_063860573.1	UPI00000B5B59	UniRef100_Q7DH51,UniRef50_P52699,UniRef90_M4ZQE9
AP022381.1|integron_01|AP022381.1_146	287	blaGES-24	carbapenem-hydrolyzing class A beta-lactamase GES-24	3.5.2.6	GO:0005576,GO:0008800,GO:0030655,GO:0046677		WP_059385191.1	UPI00042DDE87	UniRef100_A0A2Z5U5H5,UniRef50_Q9KJY7,UniRef90_Q9KJY7
AP022381.1|integron_01|AP022381.1_147	287	blaGES-24	carbapenem-hydrolyzing class A beta-lactamase GES-24	3.5.2.6	GO:0005576,GO:0008800,GO:0030655,GO:0046677		WP_059385191.1	UPI00042DDE87	UniRef100_A0A2Z5U5H5,UniRef50_Q9KJY7,UniRef90_Q9KJY7
AP022381.1|integron_01|AP022381.1_148	290	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2						UniRef50_Q51348,UniRef90_E9LLI5
AP022381.1|integron_02|AP022381.1_184	287	blaGES-24	carbapenem-hydrolyzing class A beta-lactamase GES-24	3.5.2.6	GO:0005576,GO:0008800,GO:0030655,GO:0046677		WP_059385191.1	UPI00042DDE87	UniRef100_A0A2Z5U5H5,UniRef50_Q9KJY7,UniRef90_Q9KJY7
AP022381.1|integron_02|AP022381.1_185	287	blaGES-24	carbapenem-hydrolyzing class A beta-lactamase GES-24	3.5.2.6	GO:0005576,GO:0008800,GO:0030655,GO:0046677		WP_059385191.1	UPI00042DDE87	UniRef100_A0A2Z5U5H5,UniRef50_Q9KJY7,UniRef90_Q9KJY7
AP022381.1|integron_02|AP022381.1_186	290	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2						UniRef50_Q51348,UniRef90_E9LLI5
AP022385.1|integron_01|AP022385.1_44	290	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2						UniRef50_Q51348,UniRef90_E9LLI5
AP022385.1|integron_01|AP022385.1_45	287	blaGES-24	carbapenem-hydrolyzing class A beta-lactamase GES-24	3.5.2.6	GO:0005576,GO:0008800,GO:0030655,GO:0046677		WP_059385191.1	UPI00042DDE87	UniRef100_A0A2Z5U5H5,UniRef50_Q9KJY7,UniRef90_Q9KJY7
AP022385.1|integron_01|AP022385.1_46	287	blaGES-24	carbapenem-hydrolyzing class A beta-lactamase GES-24	3.5.2.6	GO:0005576,GO:0008800,GO:0030655,GO:0046677		WP_059385191.1	UPI00042DDE87	UniRef100_A0A2Z5U5H5,UniRef50_Q9KJY7,UniRef90_Q9KJY7
AP022387.1|integron_01|AP022387.1_33	287	blaGES-24	carbapenem-hydrolyzing class A beta-lactamase GES-24	3.5.2.6	GO:0005576,GO:0008800,GO:0030655,GO:0046677		WP_059385191.1	UPI00042DDE87	UniRef100_A0A2Z5U5H5,UniRef50_Q9KJY7,UniRef90_Q9KJY7
AP022387.1|integron_01|AP022387.1_34	287	blaGES-24	carbapenem-hydrolyzing class A beta-lactamase GES-24	3.5.2.6	GO:0005576,GO:0008800,GO:0030655,GO:0046677		WP_059385191.1	UPI00042DDE87	UniRef100_A0A2Z5U5H5,UniRef50_Q9KJY7,UniRef90_Q9KJY7
AP022387.1|integron_01|AP022387.1_35	263	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	2.7.7.47	GO:0005524,GO:0009012,GO:0046677		WP_001261740.1	UPI00000B27E9	UniRef100_A0A6G8FA23,UniRef50_P0AG05,UniRef90_P14511
AP022422.1|integron_01|AP022422.1_12	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
AP022422.1|integron_01|AP022422.1_13	443	ltrA	group II intron reverse transcriptase/maturase	2.7.7.49	GO:0000373,GO:0003964				UniRef50_A0A5P9EX78,UniRef90_A0AAP6CU23
AP022422.1|integron_01|AP022422.1_14	287	blaGES-24	carbapenem-hydrolyzing class A beta-lactamase GES-24	3.5.2.6	GO:0005576,GO:0008800,GO:0030655,GO:0046677		WP_059385191.1	UPI00042DDE87	UniRef100_A0A2Z5U5H5,UniRef50_Q9KJY7,UniRef90_Q9KJY7
AP022439.1|integron_01|AP022439.1_147	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
AP022439.1|integron_01|AP022439.1_148	262	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	2.7.7.47			WP_060512885.1	UPI0000E6712A	UniRef100_A0FKJ1,UniRef50_Q9R3A9,UniRef90_D0ECS9
AP022439.1|integron_01|AP022439.1_149	210	aac(6')-Ib	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	2.3.1.82					UniRef50_Q849Y4,UniRef90_Q849Y4
AP022520.1|integron_01|AP022520.1_108	249	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	2.7.7.46				UPI000016FD38	UniRef100_Q6X3H6,UniRef50_Q6X3H6,UniRef90_Q6X3H6
AP022520.1|integron_01|AP022520.1_109	259	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	2.7.7.47	GO:0005524,GO:0009012,GO:0046677			UPI001D5A5E64	UniRef100_A0A6G8FA23,UniRef50_P0AG05,UniRef90_P14511
AP022520.1|integron_01|AP022520.1_110	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
AP022520.1|integron_02|AP022520.1_146	209	aac(6')-Ib	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	2.3.1.82				UPI000199CDC8	UniRef100_A0A2S0T0Y9,UniRef50_Q849Y4,UniRef90_Q849Y4
AP022520.1|integron_02|AP022520.1_147	246	istB	IS21-like element helper ATPase IstB		GO:0005524		WP_012695455.1	UPI000199CDC9	UniRef100_A0A444R6G0,UniRef50_G4SXI9,UniRef90_A0A8E6L9F0
AP022554.1|integron_01|AP022554.1_42	157	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	1.5.1.3	GO:0004146	COG0262,H	WP_004201280.1	UPI00005051FA	UniRef100_F8T8W2,UniRef50_P95524,UniRef90_F8T8W2
AP022554.1|integron_01|AP022554.1_43	234	tnp	IS6 family IS15DIV transposase		GO:0004803	COG3316,X	WP_001067855.1	UPI0000003DD8	UniRef100_A0A6H1PZP7,UniRef50_Q573Q1,UniRef90_A0A6H1PZP7
AP024132.2|integron_01|AP024132.2_51	259	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	2.7.7.47					UniRef50_Q51348,UniRef90_Q0PRF6
AP024132.2|integron_01|AP024132.2_52	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
AP024695.1|integron_01|AP024695.1_67	165	dfrA12	trimethoprim-resistant dihydrofolate reductase DfrA12	1.5.1.3	GO:0004146		WP_001083725.1	UPI00000BF132	UniRef100_Q79DQ2,UniRef50_Q59408,UniRef90_Q79DQ2
AP024695.1|integron_01|AP024695.1_68	259	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	2.7.7.47	GO:0005524,GO:0009012,GO:0046677			UPI001D5A5E64	UniRef100_A0A6G8FA23,UniRef50_P0AG05,UniRef90_P14511
AP024695.1|integron_01|AP024695.1_69	419	cmlA1	chloramphenicol efflux MFS transporter CmlA1		GO:0016020,GO:0022857,GO:0042910,GO:0055085,GO:1990961				UniRef50_P32482,UniRef90_A0A1Y0F555
AP024695.1|integron_01|AP024695.1_70	259	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	2.7.7.47					UniRef50_Q51348,UniRef90_Q0PRF6
AP024695.1|integron_01|AP024695.1_71	110	qacL	quaternary ammonium compound efflux SMR transporter QacL						UniRef50_A0A699RPB9,UniRef90_D6CJR3
AP024695.1|integron_01|AP024695.1_72	191		Mutator family transposase				WP_021538338.1	UPI000390D80C	UniRef100_C9WXG8,UniRef50_A2I607,UniRef90_A2I607
AP024696.1|integron_01|AP024696.1_43	199	dfrA17	trimethoprim-resistant dihydrofolate reductase DfrA17	1.5.1.3	GO:0004146			UPI0001E654C9	UniRef100_A0A8D9KLG0,UniRef50_A0A8E8HUV3,UniRef90_C7S9T5
AP024696.1|integron_01|AP024696.1_44	262	aadA5	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5	2.7.7.47			WP_000503573.1	UPI00000BE4E8	UniRef100_Q9R3A9,UniRef50_Q9R3A9,UniRef90_Q9R3A9
AP024696.1|integron_01|AP024696.1_45	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
AP024844.2|integron_01|AP024844.2_138	157	dfrA16	trimethoprim-resistant dihydrofolate reductase DfrA16	1.5.1.3	GO:0004146				UniRef50_Q934B2,UniRef90_Q934B2
AP024844.2|integron_01|AP024844.2_139	259	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	2.7.7.47	GO:0005524,GO:0009012,GO:0046677			UPI001D5A5E64	UniRef100_A0A6G8FA23,UniRef50_P0AG05,UniRef90_P14511
AP024844.2|integron_01|AP024844.2_140	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
AP024914.1|integron_01|AP024914.1_9	246	blaIMP-1	subclass B1 metallo-beta-lactamase IMP-1	3.1.26.-,3.5.2.6	GO:0008270,GO:0008800,GO:0017001,GO:0042597,GO:0046677	COG0491,R	WP_003159548.1	UPI00000054D4	UniRef100_P52699,UniRef50_P52699,UniRef90_P52699
AP024914.1|integron_01|AP024914.1_10	193	aac(6')-IIc	aminoglycoside N-acetyltransferase AAC(6')-IIc	2.3.1.82			WP_012695484.1	UPI00000BAAAE	UniRef100_A0A6G8F8L0,UniRef50_P19650,UniRef90_A0A6G8F8L0
AP024914.1|integron_01|AP024914.1_11	41		hypothetical protein				WP_022646489.1	UPI0003B60FBC	UniRef100_A0A6G8F8H4,UniRef50_A0A6G8F8H4,UniRef90_A0A6G8F8H4
AP024914.1|integron_01|AP024914.1_12	110	qacL	quaternary ammonium compound efflux SMR transporter QacL						UniRef50_A0A699RPB9,UniRef90_D6CJR3
AP024914.1|integron_01|AP024914.1_13	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
AP024919.1|integron_01|AP024919.1_9	246	blaIMP-1	subclass B1 metallo-beta-lactamase IMP-1	3.1.26.-,3.5.2.6	GO:0008270,GO:0008800,GO:0017001,GO:0042597,GO:0046677	COG0491,R	WP_003159548.1	UPI00000054D4	UniRef100_P52699,UniRef50_P52699,UniRef90_P52699
AP024919.1|integron_01|AP024919.1_10	193	aac(6')-IIc	aminoglycoside N-acetyltransferase AAC(6')-IIc	2.3.1.82			WP_012695484.1	UPI00000BAAAE	UniRef100_A0A6G8F8L0,UniRef50_P19650,UniRef90_A0A6G8F8L0
AP024919.1|integron_01|AP024919.1_11	41		hypothetical protein				WP_022646489.1	UPI0003B60FBC	UniRef100_A0A6G8F8H4,UniRef50_A0A6G8F8H4,UniRef90_A0A6G8F8H4
AP024919.1|integron_01|AP024919.1_12	110	qacL	quaternary ammonium compound efflux SMR transporter QacL						UniRef50_A0A699RPB9,UniRef90_D6CJR3
AP024919.1|integron_01|AP024919.1_13	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
AP025276.1|integron_01|AP025276.1_16	110	qacF	quaternary ammonium compound efflux SMR transporter QacF						UniRef50_A0A699RPB9,UniRef90_D6CJR3
AP025276.1|integron_01|AP025276.1_17	184	aac(6')-31	aminoglycoside N-acetyltransferase AAC(6')-31	2.3.1.82		COG1670,JO	WP_044424439.1	UPI0000DACBEB	UniRef100_A0A2Z5YRF1,UniRef50_A0A6P1J1R6,UniRef90_A0A2Z5YRF1
AP025276.1|integron_01|AP025276.1_18	246	blaIMP-1	subclass B1 metallo-beta-lactamase IMP-1	3.1.26.-,3.5.2.6	GO:0008270,GO:0008800,GO:0017001,GO:0042597,GO:0046677	COG0491,R	WP_003159548.1	UPI00000054D4	UniRef100_P52699,UniRef50_P52699,UniRef90_P52699
AP025276.1|integron_01|AP025276.1_19	212	spoIVCA	TniC			COG1961,L			UniRef50_A0A6F8Z7W8,UniRef90_A0A0F7L1S6
AP025671.1|integron_01|AP025671.1_105	246	blaIMP	IMP family subclass B1 metallo-beta-lactamase	3.1.26.-,3.5.2.6	GO:0008270,GO:0008800,GO:0017001,GO:0042597,GO:0046677	COG0491,R	WP_164457076.1	UPI000DC7E073	UniRef100_A0A2Z5WNL4,UniRef50_P52699,UniRef90_P52699
AP025671.1|integron_01|AP025671.1_106	183	aac(6')-Iae	aminoglycoside 6'-N-acetyltransferase AAC(6')-Iae		GO:0008080		WP_003159545.1	UPI0000351AEA	UniRef100_A0A0K2S3L0,UniRef50_A0A2N1TQP4,UniRef90_A0A0K2S3L0
AP025671.1|integron_01|AP025671.1_107	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
AP026450.1|integron_01|AP026450.1_5	259	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	2.7.7.47	GO:0005524,GO:0009012,GO:0046677			UPI001D5A5E64	UniRef100_A0A6G8FA23,UniRef50_P0AG05,UniRef90_P14511
AP026450.1|integron_01|AP026450.1_6	115	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1		GO:0005886,GO:0016020,GO:0022857	COG2076,V	WP_000679427.1	UPI0000000BEC	UniRef100_P0AA22,UniRef50_P0AA22,UniRef90_P0AA22
